time_bin,price_level,bid_volume,ask_volume,net_volume,trade_count,avg_bid_price,avg_ask_price,time_window,segment_id,trading_time
1606809600,270.5,15,15,0,1,270.0,271.0,5m,48,2020-12-01 08:00:00
1606809600,270.0,15,15,0,1,269.5,270.5,5m,48,2020-12-01 08:00:00
1606809900,271.0,105,105,0,7,270.5,271.4286,5m,48,2020-12-01 08:05:00
1606809900,270.5,120,120,0,8,270.1875,271.0,5m,48,2020-12-01 08:05:00
1606809900,270.0,30,30,0,2,269.5,270.5,5m,48,2020-12-01 08:05:00
1606809900,269.5,45,45,0,3,269.0,270.0,5m,48,2020-12-01 08:05:00
1606809900,269.0,15,15,0,1,269.0,269.5,5m,48,2020-12-01 08:05:00
1606810200,271.5,75,75,0,5,271.0,272.0,5m,48,2020-12-01 08:10:00
1606810200,271.0,105,105,0,7,270.5,271.5,5m,48,2020-12-01 08:10:00
1606810200,270.5,120,120,0,8,270.1875,271.0,5m,48,2020-12-01 08:10:00
1606810500,270.5,120,120,0,8,270.0,271.0,5m,48,2020-12-01 08:15:00
1606810500,270.0,15,15,0,1,269.5,270.5,5m,48,2020-12-01 08:15:00
1606810800,270.5,135,135,0,9,270.0,270.9444,5m,48,2020-12-01 08:20:00
1606810800,269.5,15,15,0,1,269.0,270.0,5m,48,2020-12-01 08:20:00
1606811100,270.5,90,90,0,6,270.0,270.8333,5m,48,2020-12-01 08:25:00
1606811100,270.0,240,240,0,16,269.5938,270.5,5m,48,2020-12-01 08:25:00
1606811400,270.5,30,30,0,2,270.0,271.0,5m,48,2020-12-01 08:30:00
1606811400,270.0,105,105,0,7,269.6429,270.5,5m,48,2020-12-01 08:30:00
1606811400,269.5,150,150,0,10,269.0,270.0,5m,48,2020-12-01 08:30:00
1606811400,269.0,90,90,0,6,268.9167,269.5,5m,48,2020-12-01 08:30:00
1606811700,270.5,60,60,0,4,270.25,271.0,5m,48,2020-12-01 08:35:00
1606811700,270.0,120,120,0,8,269.5,270.5,5m,48,2020-12-01 08:35:00
1606811700,269.5,255,255,0,17,269.0,270.0,5m,48,2020-12-01 08:35:00
1606812000,271.5,45,45,0,3,271.0,272.0,5m,48,2020-12-01 08:40:00
1606812000,271.0,615,615,0,41,270.5,271.4756,5m,48,2020-12-01 08:40:00
1606812000,270.5,285,285,0,19,270.2632,270.9737,5m,48,2020-12-01 08:40:00
1606812300,271.5,195,195,0,13,270.9231,272.0769,5m,48,2020-12-01 08:45:00
1606812300,271.0,390,390,0,26,270.4231,271.5192,5m,48,2020-12-01 08:45:00
1606812300,270.5,570,570,0,38,270.1316,271.0,5m,48,2020-12-01 08:45:00
1606812600,273.5,15,15,0,1,273.0,274.0,5m,48,2020-12-01 08:50:00
1606812600,272.0,15,15,0,1,272.0,272.5,5m,48,2020-12-01 08:50:00
1606812600,271.5,60,60,0,4,271.375,271.75,5m,48,2020-12-01 08:50:00
1606812600,271.0,240,240,0,16,270.2188,271.7188,5m,48,2020-12-01 08:50:00
1606812600,270.5,495,495,0,33,270.0303,271.0,5m,48,2020-12-01 08:50:00
1606812900,271.0,30,30,0,2,270.5,271.25,5m,48,2020-12-01 08:55:00
1606812900,270.5,690,690,0,46,270.163,270.9783,5m,48,2020-12-01 08:55:00
1606813200,270.5,420,420,0,28,270.0,270.9643,5m,48,2020-12-01 09:00:00
1606813200,270.0,15,15,0,1,269.5,270.5,5m,48,2020-12-01 09:00:00
1606813500,270.5,875,875,0,59,270.0,270.9746,5m,48,2020-12-01 09:05:00
1606813500,269.5,15,15,0,1,269.0,270.0,5m,48,2020-12-01 09:05:00
1606813800,270.5,630,630,0,42,270.0476,270.9762,5m,48,2020-12-01 09:10:00
1606814100,270.5,270,270,0,18,270.0,270.9167,5m,48,2020-12-01 09:15:00
1606814100,270.0,120,120,0,8,269.5,270.5,5m,48,2020-12-01 09:15:00
1606814400,270.5,180,180,0,12,270.0,270.75,5m,48,2020-12-01 09:20:00
1606814400,270.0,75,75,0,5,269.8,270.5,5m,48,2020-12-01 09:20:00
1606814700,270.5,75,75,0,5,270.0,270.8,5m,48,2020-12-01 09:25:00
1606814700,270.0,450,450,0,30,269.55,270.5,5m,48,2020-12-01 09:25:00
1606815000,270.5,465,465,0,31,270.0,270.9194,5m,48,2020-12-01 09:30:00
1606815000,270.0,210,210,0,14,269.5,270.5,5m,48,2020-12-01 09:30:00
1606815300,270.0,525,525,0,35,269.5143,270.5143,5m,48,2020-12-01 09:35:00
1606815600,270.0,285,285,0,19,269.5263,270.5,5m,48,2020-12-01 09:40:00
1606815900,270.0,765,765,0,51,269.5098,270.5,5m,48,2020-12-01 09:45:00
1606816200,270.0,315,315,0,21,269.5,270.5,5m,48,2020-12-01 09:50:00
1606816200,269.5,90,90,0,6,269.0,270.0,5m,48,2020-12-01 09:50:00
1606816500,269.5,285,285,0,19,269.0,270.0,5m,48,2020-12-01 09:55:00
1606816500,269.0,90,90,0,6,268.8333,269.5,5m,48,2020-12-01 09:55:00
1606816800,269.5,75,75,0,5,268.5,270.5,5m,48,2020-12-01 10:00:00
1606816800,269.0,135,135,0,9,268.6667,269.5,5m,48,2020-12-01 10:00:00
1606817100,270.0,30,30,0,2,269.0,271.0,5m,48,2020-12-01 10:05:00
1606817100,269.5,240,240,0,16,269.0,269.875,5m,48,2020-12-01 10:05:00
1606817100,269.0,165,165,0,11,268.9545,269.5,5m,48,2020-12-01 10:05:00
1606817400,269.0,150,150,0,10,268.6,269.5,5m,48,2020-12-01 10:10:00
1606817700,269.5,150,150,0,10,269.0,269.9,5m,48,2020-12-01 10:15:00
1606817700,269.0,90,90,0,6,268.8333,269.5,5m,48,2020-12-01 10:15:00
1606818000,269.5,135,135,0,9,269.0,270.0,5m,48,2020-12-01 10:20:00
1606818300,269.5,105,105,0,7,269.0,270.0,5m,48,2020-12-01 10:25:00
1606818600,270.0,90,90,0,6,269.5,270.5,5m,48,2020-12-01 10:30:00
1606818600,269.5,150,150,0,10,269.0,270.0,5m,48,2020-12-01 10:30:00
1606818900,270.0,165,165,0,11,269.5,270.5,5m,48,2020-12-01 10:35:00
1606818900,269.5,225,225,0,15,269.0,270.0,5m,48,2020-12-01 10:35:00
1606819200,269.5,165,165,0,11,269.0,270.0,5m,48,2020-12-01 10:40:00
1606819500,269.5,165,165,0,11,269.0,270.0,5m,48,2020-12-01 10:45:00
